,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-06-28 22:28:36+00:00,0,11,3,0,3,1,0,0,0,84,68,29,0,3,56,0,13,0,0,5,21,0,1,0,118,0,0,8,12,8,1,39,6,0,0,0,0
2020-06-27 22:42:47+00:00,5,0,0,0,0,0,0,9,0,47,42,60,3,56,60,5,12,0,19,4,0,5,0,0,285,8,0,18,16,2,41,0,68,11,0,3,0
2020-06-26 22:50:14+00:00,9,0,0,1,4,0,0,0,0,66,21,22,2,0,20,5,9,0,16,0,69,0,0,0,259,0,0,23,10,22,76,4,46,0,0,0,0
2020-06-25 22:47:58+00:00,8,15,0,0,5,0,0,0,0,106,0,34,3,28,34,0,22,0,33,0,25,4,0,0,159,5,5,12,44,11,33,1,6,0,1,0,0
2020-06-24 22:23:27+00:00,28,13,18,4,6,7,0,0,0,40,0,20,0,14,17,3,1,0,27,1,0,0,0,17,250,0,13,22,0,6,100,40,0,2,0,0,0
2020-06-23 22:30:26+00:00,20,0,0,0,15,0,3,1,0,37,0,0,0,16,22,0,3,0,8,0,0,0,0,0,209,0,0,36,8,7,67,0,0,0,0,0,0
2020-06-22 22:14:12+00:00,10,0,0,0,3,8,0,8,0,31,30,13,0,0,16,28,9,0,20,0,8,0,0,20,288,9,0,17,20,0,76,2,56,3,0,0,0
2020-06-21 22:33:16+00:00,1,3,0,0,17,14,5,2,0,0,0,5,1,18,18,0,29,0,28,6,0,0,0,0,169,0,0,23,0,6,52,31,8,0,0,0,0
2020-06-20 22:29:31+00:00,0,0,0,0,0,27,0,1,0,83,0,31,2,0,60,0,0,0,25,2,0,0,0,0,230,3,0,0,6,0,51,13,127,0,0,0,0
2020-06-19 22:05:31+00:00,48,0,17,0,9,17,3,1,0,18,0,19,2,31,38,4,0,0,14,12,0,0,0,3,281,3,0,37,23,3,45,21,18,0,0,0,0
